pair_ID	relatedness_score	entailment_judgment
6	3.201115	NEUTRAL
7	3.559937	NEUTRAL
8	3.22264	NEUTRAL
10	4.824919	ENTAILMENT
11	4.213359	NEUTRAL
13	3.659472	CONTRADICTION
15	2.974862	NEUTRAL
16	3.038368	NEUTRAL
17	2.9445799999999998	NEUTRAL
19	4.699784999999999	ENTAILMENT
20	3.822198	CONTRADICTION
21	4.541608999999999	ENTAILMENT
22	4.865919	ENTAILMENT
23	3.9211110000000002	CONTRADICTION
27	3.241034	NEUTRAL
29	3.576629	NEUTRAL
31	3.699096	CONTRADICTION
32	4.678380000000001	ENTAILMENT
33	4.812401	ENTAILMENT
34	3.661024	NEUTRAL
36	3.121757	NEUTRAL
37	3.9554650000000002	NEUTRAL
38	3.587542	NEUTRAL
39	3.978296	NEUTRAL
41	4.240862	NEUTRAL
43	4.753981	ENTAILMENT
46	3.500569	NEUTRAL
48	2.974817	NEUTRAL
50	3.5206160000000004	NEUTRAL
51	3.5841220000000003	NEUTRAL
52	4.889204	ENTAILMENT
53	3.878508	NEUTRAL
54	4.1609739999999995	NEUTRAL
57	3.5779059999999996	NEUTRAL
59	3.838564	NEUTRAL
60	3.137956	NEUTRAL
61	2.853369	NEUTRAL
63	4.485566	ENTAILMENT
64	3.702007	CONTRADICTION
66	4.1132089999999994	NEUTRAL
67	3.7977190000000003	CONTRADICTION
68	3.685843	NEUTRAL
69	3.5887290000000003	CONTRADICTION
71	3.535689	CONTRADICTION
74	4.841462	ENTAILMENT
75	3.878086	NEUTRAL
76	4.662137	ENTAILMENT
80	1.829017	NEUTRAL
86	2.143368	NEUTRAL
89	4.81745	ENTAILMENT
92	1.2471299999999998	NEUTRAL
95	1.7709540000000001	NEUTRAL
96	1.281527	NEUTRAL
101	4.813978	ENTAILMENT
102	3.933164	NEUTRAL
103	3.8721339999999995	NEUTRAL
104	3.856212	NEUTRAL
106	3.8976230000000003	NEUTRAL
108	3.7839410000000004	NEUTRAL
109	4.159086	NEUTRAL
110	3.313717	NEUTRAL
111	4.915339	ENTAILMENT
114	2.553512	NEUTRAL
115	2.98778	NEUTRAL
118	4.717121	ENTAILMENT
121	4.711258	ENTAILMENT
123	3.194224	NEUTRAL
125	2.986683	NEUTRAL
128	2.873196	NEUTRAL
132	3.734548	CONTRADICTION
134	4.161989	NEUTRAL
135	3.205449	NEUTRAL
137	3.393757	NEUTRAL
138	2.287672	NEUTRAL
142	4.972905	ENTAILMENT
143	3.7726669999999998	CONTRADICTION
144	2.83755	NEUTRAL
145	2.380913	NEUTRAL
147	2.867971	NEUTRAL
149	4.796774	ENTAILMENT
151	4.904019	ENTAILMENT
152	3.652675	CONTRADICTION
153	3.9211099999999997	NEUTRAL
154	3.5397300000000005	CONTRADICTION
155	4.371638	NEUTRAL
156	3.4364489999999996	NEUTRAL
157	4.668872	ENTAILMENT
158	4.784073	ENTAILMENT
160	4.310316	ENTAILMENT
162	3.656375	NEUTRAL
165	3.5176819999999998	NEUTRAL
166	3.681663	NEUTRAL
167	4.987971	ENTAILMENT
168	3.587436	NEUTRAL
169	4.915211	ENTAILMENT
171	4.8723790000000005	ENTAILMENT
172	4.55419	ENTAILMENT
174	4.502292	ENTAILMENT
175	4.589091000000001	ENTAILMENT
177	4.55478	ENTAILMENT
178	4.485991	ENTAILMENT
179	3.7094440000000004	NEUTRAL
180	4.389106	ENTAILMENT
181	4.233036	ENTAILMENT
182	3.9244830000000004	NEUTRAL
187	3.234078	NEUTRAL
189	3.151052	NEUTRAL
190	3.151025	NEUTRAL
191	4.533924	ENTAILMENT
193	4.820724	ENTAILMENT
195	4.356761	ENTAILMENT
196	3.5466559999999996	NEUTRAL
198	3.6237449999999995	CONTRADICTION
199	4.4230220000000005	ENTAILMENT
203	4.051201	NEUTRAL
204	3.4686779999999997	NEUTRAL
206	3.98406	NEUTRAL
207	3.5009370000000004	NEUTRAL
208	4.067603	NEUTRAL
209	3.957119	NEUTRAL
210	3.39077	CONTRADICTION
212	3.872203	NEUTRAL
213	2.956277	NEUTRAL
214	2.6304380000000003	NEUTRAL
220	4.04626	NEUTRAL
221	4.760838	ENTAILMENT
222	4.876414	ENTAILMENT
229	4.866649	ENTAILMENT
230	3.6479660000000003	CONTRADICTION
231	4.580381	ENTAILMENT
235	2.576653	NEUTRAL
239	2.4274270000000002	NEUTRAL
242	4.881689	ENTAILMENT
243	3.7165690000000002	NEUTRAL
244	3.5928169999999997	NEUTRAL
245	4.409414	ENTAILMENT
246	2.542953	NEUTRAL
